Series;Time;Value
Alliance (Failed - False);2019-05-25T16:07:42.000Z;71
Alliance (Failed - False);2019-05-25T16:07:44.000Z;71
Alliance (Failed - False);2019-05-25T16:07:46.000Z;71
Alliance (Failed - False);2019-05-25T16:07:48.000Z;71
Alliance (Failed - False);2019-05-25T16:07:50.000Z;71
Alliance (Failed - False);2019-05-25T16:07:52.000Z;71
Alliance (Failed - False);2019-05-25T16:07:54.000Z;71
Alliance (Failed - False);2019-05-25T16:07:56.000Z;71
Alliance (Failed - False);2019-05-25T16:07:58.000Z;71
Alliance (Failed - False);2019-05-25T16:08:00.000Z;71
Alliance (Failed - False);2019-05-25T16:08:02.000Z;71
Alliance (Failed - False);2019-05-25T16:08:04.000Z;71
Alliance (Failed - False);2019-05-25T16:08:06.000Z;71
Alliance (Failed - False);2019-05-25T16:08:08.000Z;71
Alliance (Failed - False);2019-05-25T16:08:10.000Z;71
Alliance (Failed - False);2019-05-25T16:08:12.000Z;71
Alliance (Failed - False);2019-05-25T16:08:14.000Z;71
Alliance (Failed - False);2019-05-25T16:08:16.000Z;71
Alliance (Failed - False);2019-05-25T16:08:18.000Z;71
Alliance (Failed - False);2019-05-25T16:08:20.000Z;71
Alliance (Failed - False);2019-05-25T16:08:22.000Z;71
Alliance (Failed - False);2019-05-25T16:08:24.000Z;71
Alliance (Failed - False);2019-05-25T16:08:26.000Z;71
Alliance (Failed - False);2019-05-25T16:08:28.000Z;71
Alliance (Failed - False);2019-05-25T16:08:30.000Z;71
Alliance (Failed - False);2019-05-25T16:08:32.000Z;71
Alliance (Failed - False);2019-05-25T16:08:34.000Z;71
Alliance (Failed - False);2019-05-25T16:08:36.000Z;71
Alliance (Failed - False);2019-05-25T16:08:38.000Z;71
Alliance (Failed - False);2019-05-25T16:08:40.000Z;71
Alliance (Failed - False);2019-05-25T16:08:42.000Z;71
Alliance (Failed - False);2019-05-25T16:08:44.000Z;71
Alliance (Failed - False);2019-05-25T16:08:46.000Z;71
Alliance (Failed - False);2019-05-25T16:08:48.000Z;72
Alliance (Failed - False);2019-05-25T16:08:50.000Z;73
Alliance (Failed - False);2019-05-25T16:08:52.000Z;74
Alliance (Failed - False);2019-05-25T16:08:54.000Z;74
Alliance (Failed - False);2019-05-25T16:08:56.000Z;75
Alliance (Failed - False);2019-05-25T16:08:58.000Z;76
Alliance (Failed - False);2019-05-25T16:09:00.000Z;77
Alliance (Failed - False);2019-05-25T16:09:02.000Z;78
